time,value
2025-05-22T13:58:18.265682602Z,648
2025-05-22T13:58:29.041643891Z,663
2025-05-22T13:58:39.669639218Z,674
2025-05-22T13:58:50.293387396Z,680
2025-05-22T13:59:01.070616527Z,684
2025-05-22T13:59:11.697924724Z,686
2025-05-22T13:59:22.325069117Z,668
2025-05-22T13:59:33.101605233Z,702
2025-05-22T13:59:43.727174658Z,692
2025-05-22T13:59:54.354330325Z,685
2025-05-22T14:00:05.129980725Z,678
2025-05-22T14:00:15.756582708Z,668
2025-05-22T14:00:26.382394459Z,642
2025-05-22T14:00:37.161511473Z,659
2025-05-22T14:00:47.786540445Z,676
2025-05-22T14:00:58.41202981Z,652
2025-05-22T14:01:09.192881644Z,676
2025-05-22T14:01:19.818301455Z,684
2025-05-22T14:01:30.446525578Z,649
2025-05-22T14:01:41.221830692Z,663
2025-05-22T14:01:51.855255872Z,682
2025-05-22T14:02:02.474120585Z,666
2025-05-22T14:02:13.248797781Z,702
2025-05-22T14:02:23.87581853Z,651
2025-05-22T14:02:34.499807756Z,666
2025-05-22T14:02:45.281485872Z,694
2025-05-22T14:02:55.907901255Z,654
2025-05-22T14:03:06.53416387Z,664
2025-05-22T14:03:17.309090826Z,672
2025-05-22T14:03:27.934220241Z,655
2025-05-22T14:03:38.559662615Z,665
2025-05-22T14:03:49.337930151Z,650
2025-05-22T14:03:59.964736032Z,670
2025-05-22T14:04:10.593269206Z,643
2025-05-22T14:04:21.373765094Z,696
2025-05-22T14:04:32.029139448Z,665
2025-05-22T14:04:42.657141967Z,626
2025-05-22T14:04:53.433825341Z,670
2025-05-22T14:05:04.061601835Z,646
2025-05-22T14:05:14.687349812Z,695
2025-05-22T14:05:25.465788706Z,631
2025-05-22T14:05:36.090145986Z,656
2025-05-22T14:05:46.716875733Z,665
2025-05-22T14:05:57.493143121Z,629
2025-05-22T14:06:08.118899173Z,656
2025-05-22T14:06:18.745219519Z,633
2025-05-22T14:06:29.528992157Z,640
2025-05-22T14:06:40.151104802Z,664
2025-05-22T14:06:50.777929715Z,660
2025-05-22T14:07:01.560257081Z,660
2025-05-22T14:07:12.185259551Z,641
2025-05-22T14:07:22.812644276Z,624
2025-05-22T14:07:33.592905768Z,648
2025-05-22T14:07:44.220897331Z,635
2025-05-22T14:07:54.849897133Z,620
2025-05-22T14:08:05.630302784Z,639
2025-05-22T14:08:16.261144364Z,641
2025-05-22T14:08:26.8875136Z,623
2025-05-22T14:08:37.66549051Z,644
2025-05-22T14:08:48.29261843Z,636
2025-05-22T14:08:58.922334507Z,626
2025-05-22T14:09:09.697141451Z,642
2025-05-22T14:09:20.324159818Z,629
2025-05-22T14:09:30.950491748Z,630
2025-05-22T14:09:41.72931988Z,634
2025-05-22T14:09:52.355836319Z,621
2025-05-22T14:10:02.982195623Z,620
2025-05-22T14:10:13.761122609Z,643
2025-05-22T14:10:24.3873498Z,661
2025-05-22T14:10:35.014522285Z,638
2025-05-22T14:10:45.797926343Z,614
2025-05-22T14:10:56.426228253Z,623
2025-05-22T14:11:07.05188189Z,602
2025-05-22T14:11:17.828891137Z,628
2025-05-22T14:11:28.458041664Z,615
2025-05-22T14:11:39.08546316Z,618
2025-05-22T14:11:49.865286489Z,609
2025-05-22T14:12:00.495099616Z,633
2025-05-22T14:12:11.12305275Z,626
2025-05-22T14:12:21.902700602Z,607
2025-05-22T14:12:32.529209312Z,621
2025-05-22T14:12:43.157007547Z,603
2025-05-22T14:12:53.945175518Z,620
2025-05-22T14:13:04.563455184Z,608
2025-05-22T14:13:15.191651476Z,637
2025-05-22T14:13:25.97065602Z,612
2025-05-22T14:13:36.598117855Z,624
2025-05-22T14:13:47.226289961Z,615
2025-05-22T14:13:58.01118444Z,594
2025-05-22T14:14:08.637613292Z,611
2025-05-22T14:14:19.266844391Z,627
2025-05-22T14:14:30.046126088Z,581
2025-05-22T14:14:40.673523807Z,583
2025-05-22T14:14:51.300916925Z,589
2025-05-22T14:15:02.081985854Z,600
2025-05-22T14:15:12.708666272Z,620
2025-05-22T14:15:23.336978545Z,595
2025-05-22T14:15:34.113762753Z,592
2025-05-22T14:15:44.742665571Z,585
2025-05-22T14:15:55.368489766Z,586
2025-05-22T14:16:06.145899841Z,617
2025-05-22T14:16:16.772778737Z,597
2025-05-22T14:16:27.399346728Z,594
2025-05-22T14:16:38.178501154Z,620
2025-05-22T14:16:48.804220055Z,573
2025-05-22T14:16:59.432884328Z,584
2025-05-22T14:17:10.221826628Z,604
2025-05-22T14:17:20.847715562Z,582
2025-05-22T14:17:31.476184659Z,595
2025-05-22T14:17:42.253477246Z,612
2025-05-22T14:17:52.880652558Z,597
2025-05-22T14:18:03.508635037Z,577
2025-05-22T14:18:14.290037076Z,590
2025-05-22T14:18:24.915229974Z,572
2025-05-22T14:18:35.544807476Z,594
2025-05-22T14:18:46.322191804Z,648
2025-05-22T14:18:56.952311051Z,601
2025-05-22T14:19:07.580445523Z,593
2025-05-22T14:19:18.360993068Z,585
2025-05-22T14:19:28.988287379Z,581
2025-05-22T14:19:39.620874229Z,608
2025-05-22T14:19:50.397872192Z,604
2025-05-22T14:20:01.024271742Z,568
2025-05-22T14:20:11.651790312Z,575
2025-05-22T14:20:22.438182043Z,576
2025-05-22T14:20:33.065198411Z,589
2025-05-22T14:20:43.693026095Z,604
2025-05-22T14:20:54.472590643Z,614
2025-05-22T14:21:05.100675813Z,612
2025-05-22T14:21:15.730522145Z,615
2025-05-22T14:21:26.514119679Z,595
2025-05-22T14:21:37.14140862Z,593
2025-05-22T14:21:47.76816261Z,581
2025-05-22T14:21:58.54911006Z,572
2025-05-22T14:22:09.175624029Z,607
2025-05-22T14:22:19.802660274Z,579
2025-05-22T14:22:30.585516027Z,592
2025-05-22T14:22:41.218903678Z,591
2025-05-22T14:22:51.846230362Z,578
2025-05-22T14:23:02.631697213Z,598
2025-05-22T14:23:13.253585933Z,606
2025-05-22T14:23:23.881247352Z,587
2025-05-22T14:23:34.65677505Z,590
2025-05-22T14:23:45.285038092Z,577
2025-05-22T14:23:55.910405962Z,555
2025-05-22T14:24:06.689379478Z,572
2025-05-22T14:24:17.316709673Z,597
2025-05-22T14:24:27.944727834Z,579
2025-05-22T14:24:38.736995391Z,591
2025-05-22T14:24:49.363385245Z,565
2025-05-22T14:24:59.993523741Z,588
2025-05-22T14:25:10.769317014Z,559
2025-05-22T14:25:21.397470275Z,552
2025-05-22T14:25:32.026039153Z,587
2025-05-22T14:25:42.811804447Z,579
2025-05-22T14:25:53.441914234Z,579
2025-05-22T14:26:04.070485186Z,592
2025-05-22T14:26:14.849569831Z,574
2025-05-22T14:26:25.475765885Z,574
2025-05-22T14:26:36.102543614Z,546
2025-05-22T14:26:46.883908892Z,567
2025-05-22T14:26:57.513042008Z,538
2025-05-22T14:27:08.138920544Z,554
2025-05-22T14:27:18.921879098Z,542
2025-05-22T14:27:29.548727943Z,522
